,ratio,index,dataset,time [hrs],rmse,r2
1119,0.3,30.0,Sobol2,0.7701034144560496,27.81075732128844,0.9116988956411306
1120,0.3,31.0,Grid1296,0.10292799002594417,224.96966879876436,-3.9617434838265453
1121,0.3,31.0,Grid2401,0.40853791839546627,423.64492605735785,-15.973061042243312
1122,0.3,31.0,Sobol1,2.1737136543459363,20.86210214624705,0.951948867064764
1123,0.3,31.0,Sobol2,1.621205028494199,72.3317145414133,0.40948034725068205
1124,0.3,32.0,Grid1296,0.09922669768333435,256.36283138940894,-5.4027795526185844
1125,0.3,32.0,Grid2401,0.43937383300728267,418.3012330575316,-15.533577961357558
1126,0.3,32.0,Sobol1,1.5276483883460363,22.234772239956346,0.9441430412916204
1127,0.3,32.0,Sobol2,1.3303617376751369,22.08233143183395,0.9442193830972528
1128,0.3,33.0,Grid1296,0.12010825541284349,211.48832976691463,-3.3813834719272453
1129,0.3,33.0,Grid2401,0.24893676982985602,419.57996871489195,-15.541754057563093
1130,0.3,33.0,Sobol1,1.2110888041390313,22.282626798181205,0.9447774302085789
1131,0.3,33.0,Sobol2,1.135098040236367,93.85674122250695,0.007356512521314196
1132,0.3,34.0,Grid1296,0.09496414436234368,231.46729070449751,-4.2641384499910435
1133,0.3,34.0,Grid2401,0.4596856356991662,431.23818638664903,-16.5621107602071
1134,0.3,34.0,Sobol1,1.4656199793683158,21.205803548136924,0.9496272428820577
1135,0.3,34.0,Sobol2,1.2766987984047995,29.895037028973604,0.8986682296896312
1136,0.3,35.0,Grid1296,0.0314083456993103,221.06983691094626,-3.7971058330074268
1137,0.3,35.0,Grid2401,0.3229605752891964,382.43306997563036,-12.760469801202653
1138,0.3,35.0,Sobol1,0.2243621959951189,21.19816182220599,0.9506643660826029
1139,0.3,35.0,Sobol2,0.35208791355292,20.363127405739878,0.9527594376084774
1140,0.3,36.0,Grid1296,0.06114618764983283,233.90354043830828,-4.361765077193428
1141,0.3,36.0,Grid2401,0.23016333493921493,377.6016101632125,-12.369556926079468
1142,0.3,36.0,Sobol1,0.569002174006568,21.883865253672322,0.946278317666841
1143,0.3,36.0,Sobol2,0.5693914504845937,112.94855878603471,-0.4273869277328788
1144,0.3,37.0,Grid1296,0.1040347891383701,256.2450409965142,-5.462680905674138
1145,0.3,37.0,Grid2401,0.3613176236550013,411.86554203887266,-14.96183976677595
1146,0.3,37.0,Sobol1,1.400840343170696,22.45248287353069,0.9432947035037639
