,ratio,rndint,dataset,degree,rmse,r2
29131,0.75,272.0,Sobol2,3.0,25.029669144169493,0.9335417938658227
29132,0.75,272.0,Grid1296,4.0,46.15289983599999,0.783969675772523
29133,0.75,272.0,Grid2401,4.0,56.61248922960638,0.6779428561778265
29134,0.75,272.0,Sobol1,4.0,24.468635375336838,0.9363746264295024
29135,0.75,272.0,Sobol2,4.0,24.985659495230866,0.933775295232967
29136,0.75,272.0,Grid1296,5.0,78.24748227179394,0.3790487932937592
29137,0.75,272.0,Grid2401,5.0,262.1134319267828,-5.903780716960738
29138,0.75,272.0,Sobol1,5.0,19.926718273442447,0.9578029191263445
29139,0.75,272.0,Sobol2,5.0,18.68840104192989,0.9629504713564941
29140,0.75,272.0,Grid1296,6.0,2909125278.1754875,-858304874005172.0
29141,0.75,272.0,Grid2401,6.0,413.83762340287524,-16.20950495086425
29142,0.75,272.0,Sobol1,6.0,20.619164767840825,0.9548192969192126
29143,0.75,272.0,Sobol2,6.0,18.20643760786013,0.9648368032259896
29144,0.75,272.0,Grid1296,7.0,526.0721000360642,-27.067728716519635
29145,0.75,272.0,Grid2401,7.0,2215.3018407419586,-492.1445656427049
29146,0.75,272.0,Sobol1,7.0,27.247734152241073,0.9211009755372149
29147,0.75,272.0,Sobol2,7.0,20.41817382295066,0.9557745571839971
29148,0.75,272.0,Grid1296,8.0,222.8290559635908,-4.035706053493362
29149,0.75,272.0,Grid2401,8.0,22732.82043373535,-51928.61201589249
29150,0.75,272.0,Sobol1,8.0,316.2626365022741,-9.629347877909515
29151,0.75,272.0,Sobol2,8.0,67.76935923613401,0.5128023829940518
29152,0.75,272.0,Grid1296,9.0,263.2746013957531,-6.029665474666369
29153,0.75,272.0,Grid2401,9.0,10305.964025739866,-10671.97959812893
29154,0.75,272.0,Sobol1,9.0,205.2871917442529,-3.4785203738598156
29155,0.75,272.0,Sobol2,9.0,58.88197164532185,0.6322073176288187
29156,0.75,272.0,Grid1296,10.0,316.28213642946395,-9.145327198012117
29157,0.75,272.0,Grid2401,10.0,4553.396434020627,-2082.4321476639616
29158,0.75,272.0,Sobol1,10.0,162.0927090421407,-1.7921439711872083
29159,0.75,272.0,Sobol2,10.0,61.59124488916467,0.5975829611476092
29160,0.75,759.0,Grid1296,1.0,76.02199040033524,0.41299905897311984
29161,0.75,759.0,Grid2401,1.0,90.34153780285868,0.18053827119888943
29162,0.75,759.0,Sobol1,1.0,73.94628561156202,0.415381908911592
29163,0.75,759.0,Sobol2,1.0,75.37026499761174,0.3891985533508431
29164,0.75,759.0,Grid1296,2.0,47.350207049603746,0.7722784715418622
29165,0.75,759.0,Grid2401,2.0,72.5932370893299,0.47088990971730715
29166,0.75,759.0,Sobol1,2.0,39.58759015458807,0.8324448991141826
29167,0.75,759.0,Sobol2,2.0,39.544415567230786,0.8318602894798348
29168,0.75,759.0,Grid1296,3.0,23.92945226856629,0.9418398066983396
29169,0.75,759.0,Grid2401,3.0,41.03411732162728,0.830938814729625
29170,0.75,759.0,Sobol1,3.0,24.539643153339316,0.9356162884578837
29171,0.75,759.0,Sobol2,3.0,23.596470537434666,0.9401320939800192
29172,0.75,759.0,Grid1296,4.0,45.01622054758714,0.7941748762968815
29173,0.75,759.0,Grid2401,4.0,47.07009771932153,0.777544105634899
29174,0.75,759.0,Sobol1,4.0,22.554187035257677,0.9456131534992352
29175,0.75,759.0,Sobol2,4.0,32.675613987659524,0.8851985201659993
29176,0.75,759.0,Grid1296,5.0,73.8516624735915,0.44603684807969346
29177,0.75,759.0,Grid2401,5.0,133.80686803422347,-0.7976723091210969
29178,0.75,759.0,Sobol1,5.0,19.57703233973772,0.9590236529630809
29179,0.75,759.0,Sobol2,5.0,20.583077286842205,0.9544466225705495
29180,0.75,759.0,Grid1296,6.0,620086881.3441799,-39053990133786.92
29181,0.75,759.0,Grid2401,6.0,371.8270211160583,-12.88147490710883
29182,0.75,759.0,Sobol1,6.0,19.05237806446344,0.9611905127931077
29183,0.75,759.0,Sobol2,6.0,23.008943742036337,0.943076271712121
29184,0.75,759.0,Grid1296,7.0,262.11412903317967,-5.9781642738040865
29185,0.75,759.0,Grid2401,7.0,3834.9640733776323,-1475.6457416514363
29186,0.75,759.0,Sobol1,7.0,25.36626095679043,0.9312057033645234
29187,0.75,759.0,Sobol2,7.0,32.334667234827286,0.8875817645365008
29188,0.75,759.0,Grid1296,8.0,219.95716397589936,-3.9140157967298013
29189,0.75,759.0,Grid2401,8.0,57417.783047321456,-331013.14895129495
29190,0.75,759.0,Sobol1,8.0,729.4427300816977,-55.888164749523014
29191,0.75,759.0,Sobol2,8.0,166.66506050027604,-1.9866828015755025
29192,0.75,759.0,Grid1296,9.0,396.5590727525301,-14.972618034244762
29193,0.75,759.0,Grid2401,9.0,4263.93362881226,-1824.4695361227966
29194,0.75,759.0,Sobol1,9.0,170.78116539831507,-2.118311299512415
29195,0.75,759.0,Sobol2,9.0,154.49292724834186,-1.5663576301965247
