,ratio,rndint,dataset,degree,prediction,target,diff
286,0.05,395.0,Sobol1,2,707.603250598331,707.0,-0.6032505983309875
287,0.05,395.0,Sobol2,2,702.2789642885407,707.0,4.721035711459308
288,0.05,395.0,Grid1296,3,724.3125,707.0,-17.3125
289,0.05,395.0,Grid2401,3,743.1183270712993,707.0,-36.11832707129929
290,0.05,395.0,Sobol1,3,734.4379776640685,707.0,-27.437977664068512
291,0.05,395.0,Sobol2,3,733.6697872771604,707.0,-26.669787277160367
292,0.05,395.0,Grid1296,4,704.0625,707.0,2.9375
293,0.05,395.0,Grid2401,4,715.638900546586,707.0,-8.638900546586001
294,0.05,395.0,Sobol1,4,729.6440076626366,707.0,-22.644007662636568
295,0.05,395.0,Sobol2,4,721.4900623704831,707.0,-14.490062370483088
296,0.05,395.0,Grid1296,5,698.9375,707.0,8.0625
297,0.05,395.0,Grid2401,5,712.6659371799159,707.0,-5.665937179915886
298,0.05,395.0,Sobol1,5,717.8476048973546,707.0,-10.847604897354586
299,0.05,395.0,Sobol2,5,723.4372667621801,707.0,-16.437266762180116
300,0.05,395.0,Grid1296,6,-7454141.826171875,707.0,7454848.826171875
301,0.05,395.0,Grid2401,6,721.7827295306025,707.0,-14.782729530602523
302,0.05,395.0,Sobol1,6,718.9206103702804,707.0,-11.920610370280428
303,0.05,395.0,Sobol2,6,730.4077031779467,707.0,-23.4077031779467
304,0.05,395.0,Grid1296,7,15610212.90625,707.0,-15609505.90625
305,0.05,395.0,Grid2401,7,-716075.8011000156,707.0,716782.8011000156
306,0.05,395.0,Sobol1,7,718.8619456044748,707.0,-11.86194560447484
307,0.05,395.0,Sobol2,7,724.7192886406137,707.0,-17.71928864061374
308,0.05,395.0,Grid1296,8,22417086.0625,707.0,-22416379.0625
309,0.05,395.0,Grid2401,8,-675637.1610205173,707.0,676344.1610205173
310,0.05,395.0,Sobol1,8,716.0533867037157,707.0,-9.05338670371566
311,0.05,395.0,Sobol2,8,721.7122266550991,707.0,-14.71222665509913
312,0.05,395.0,Grid1296,9,-1138331.078125,707.0,1139038.078125
313,0.05,395.0,Grid2401,9,1652251.4507081509,707.0,-1651544.4507081509
314,0.05,395.0,Sobol1,9,718.245205283165,707.0,-11.245205283164978
315,0.05,395.0,Sobol2,9,716.3049278408289,707.0,-9.304927840828896
316,0.05,395.0,Grid1296,10,24561220.06640625,707.0,-24560513.06640625
317,0.05,395.0,Grid2401,10,190377.32341361046,707.0,-189670.32341361046
318,0.05,395.0,Sobol1,10,719.5250925049186,707.0,-12.525092504918575
319,0.05,395.0,Sobol2,10,709.8346637301147,707.0,-2.8346637301146984
320,0.05,877.0,Grid1296,1,740.556823851349,707.0,-33.55682385134901
321,0.05,877.0,Grid2401,1,777.3685738407637,707.0,-70.3685738407637
322,0.05,877.0,Sobol1,1,679.3527054339547,707.0,27.647294566045275
323,0.05,877.0,Sobol2,1,663.1859968055032,707.0,43.81400319449676
324,0.05,877.0,Grid1296,2,750.7810618400516,707.0,-43.78106184005162
325,0.05,877.0,Grid2401,2,774.903983850058,707.0,-67.90398385005801
326,0.05,877.0,Sobol1,2,708.099446762439,707.0,-1.0994467624390154
327,0.05,877.0,Sobol2,2,701.9872400888282,707.0,5.01275991117177
328,0.05,877.0,Grid1296,3,726.875,707.0,-19.875
329,0.05,877.0,Grid2401,3,744.8064297466382,707.0,-37.80642974663817
330,0.05,877.0,Sobol1,3,735.6056902063187,707.0,-28.60569020631874
331,0.05,877.0,Sobol2,3,733.9505223221161,707.0,-26.950522322116058
332,0.05,877.0,Grid1296,4,704.9140625,707.0,2.0859375
333,0.05,877.0,Grid2401,4,715.9250789588398,707.0,-8.925078958839777
334,0.05,877.0,Sobol1,4,730.8325003140438,707.0,-23.83250031404384
335,0.05,877.0,Sobol2,4,722.2736631058666,707.0,-15.273663105866603
336,0.05,877.0,Grid1296,5,697.2650789820011,707.0,9.734921017998886
337,0.05,877.0,Grid2401,5,711.0632975834149,707.0,-4.063297583414851
338,0.05,877.0,Sobol1,5,718.0391390536438,707.0,-11.039139053643794
339,0.05,877.0,Sobol2,5,724.0936617044415,707.0,-17.0936617044415
340,0.05,877.0,Grid1296,6,-10562030.638724327,707.0,10562737.638724327
341,0.05,877.0,Grid2401,6,727.6143289752747,707.0,-20.614328975274702
342,0.05,877.0,Sobol1,6,719.3683535969703,707.0,-12.368353596970337
343,0.05,877.0,Sobol2,6,730.0976405450039,707.0,-23.097640545003856
344,0.05,877.0,Grid1296,7,-7577991.018996716,707.0,7578698.018996716
345,0.05,877.0,Grid2401,7,302755.47898215055,707.0,-302048.47898215055
346,0.05,877.0,Sobol1,7,719.6695567206025,707.0,-12.669556720602486
347,0.05,877.0,Sobol2,7,725.3067766858603,707.0,-18.306776685860314
348,0.05,877.0,Grid1296,8,-11184748.3359375,707.0,11185455.3359375
349,0.05,877.0,Grid2401,8,2247771.152728319,707.0,-2247064.152728319
350,0.05,877.0,Sobol1,8,716.3147371948944,707.0,-9.314737194894406
351,0.05,877.0,Sobol2,8,722.848582815961,707.0,-15.848582815960981
352,0.05,877.0,Grid1296,9,3805999.140625,707.0,-3805292.140625
353,0.05,877.0,Grid2401,9,-695991.5536735058,707.0,696698.5536735058
354,0.05,877.0,Sobol1,9,718.4633731842041,707.0,-11.463373184204102
355,0.05,877.0,Sobol2,9,713.7145321974804,707.0,-6.7145321974803664
356,0.05,877.0,Grid1296,10,9282840.61328125,707.0,-9282133.61328125
357,0.05,877.0,Grid2401,10,75645.85507202148,707.0,-74938.85507202148
358,0.05,877.0,Sobol1,10,718.7098302170634,707.0,-11.709830217063427
359,0.05,877.0,Sobol2,10,701.1525476127863,707.0,5.847452387213707
360,0.05,297.0,Grid1296,1,738.221481691094,707.0,-31.221481691094027
361,0.05,297.0,Grid2401,1,776.7266813475546,707.0,-69.72668134755463
362,0.05,297.0,Sobol1,1,678.5758186972624,707.0,28.424181302737566
