,ratio,rndint,dataset,rmse,mape,r2,prediction,target,diff
632,0.2,877.0,Grid1296,77.1030989146608,0.0947557848579942,0.4153172303255814,739.337421106193,707.0,-32.337421106193005
633,0.2,877.0,Grid2401,100.09860619247875,0.11544624592088,0.0714671255971554,779.2645191783142,707.0,-72.26451917831423
634,0.2,877.0,Sobol1,71.54349234294932,0.0934137283934583,0.4131079204978612,679.2370637346602,707.0,27.762936265339818
635,0.2,877.0,Sobol2,72.48718289269435,0.0946966512566498,0.3892032046762432,666.0308372533652,707.0,40.969162746634765
636,0.2,297.0,Grid1296,77.69330124900164,0.0947493404185318,0.4106649693343025,739.4888610761159,707.0,-32.48886107611588
637,0.2,297.0,Grid2401,98.44871264318829,0.1135471898526112,0.1015553954281218,776.1683923747746,707.0,-69.16839237477461
638,0.2,297.0,Sobol1,71.97453313238599,0.0940047981492639,0.4063748319299526,680.7319869934818,707.0,26.26801300651823
639,0.2,297.0,Sobol2,71.89570704878913,0.0936535111560758,0.394205861108122,667.0988794132459,707.0,39.90112058675413
640,0.2,721.0,Grid1296,78.20892187990788,0.0951088596142584,0.4046078079171866,741.3823564386853,707.0,-34.38235643868529
641,0.2,721.0,Grid2401,99.49378301413216,0.1148494010094865,0.0843346983543779,776.8682252075135,707.0,-69.86822520751355
642,0.2,721.0,Sobol1,71.61757703303087,0.0933480589331776,0.4130016611915962,680.6505650163056,707.0,26.349434983694437
643,0.2,721.0,Sobol2,72.49578764922306,0.0947410361647436,0.4010185020555403,661.6982415735907,707.0,45.301758426409265
644,0.2,711.0,Grid1296,77.40543580884535,0.0947006595222963,0.4149753844174962,738.148067448053,707.0,-31.148067448052984
645,0.2,711.0,Grid2401,99.65857702601076,0.114867018262967,0.0819533236445314,778.2104975225285,707.0,-71.2104975225285
646,0.2,711.0,Sobol1,71.67148223432629,0.0935456699368102,0.4205872122211628,681.6323627933399,707.0,25.367637206660106
647,0.2,711.0,Sobol2,72.19350011237493,0.0941715337591245,0.4042697648512836,665.8915611009595,707.0,41.10843889904049
648,0.2,985.0,Grid1296,77.59063619541016,0.0945800567799191,0.4115811020490704,739.8492295757728,707.0,-32.849229575772824
649,0.2,985.0,Grid2401,98.86769851351552,0.1139777445840721,0.0954007524757657,777.0880541606214,707.0,-70.08805416062137
650,0.2,985.0,Sobol1,71.87781948954014,0.093853911297588,0.4160831480366697,679.6482456495107,707.0,27.351754350489273
651,0.2,985.0,Sobol2,72.36516185224272,0.0943675007683101,0.3942853100874381,662.2332705250484,707.0,44.7667294749516
652,0.2,171.0,Grid1296,78.2298166887756,0.0949951849358351,0.4040072051460228,741.3499169094825,707.0,-34.349916909482545
653,0.2,171.0,Grid2401,99.13655693575834,0.114669353691749,0.0897551855993088,777.8645970157496,707.0,-70.86459701574961
654,0.2,171.0,Sobol1,72.0408148052908,0.0941492163985468,0.4120540418891926,678.465071790369,707.0,28.534928209630948
655,0.2,171.0,Sobol2,72.46529992420794,0.0946200676176156,0.3981432023641559,660.8965338423272,707.0,46.103466157672756
656,0.2,75.0,Grid1296,77.82168053520896,0.0948504782605146,0.406749387330633,741.2431813775435,707.0,-34.243181377543465
657,0.2,75.0,Grid2401,99.33470831080876,0.1149425358307,0.0830389904601435,779.884456682712,707.0,-72.88445668271197
658,0.2,75.0,Sobol1,71.34189875763334,0.0930092972887428,0.4269048514539512,679.9440904325681,707.0,27.055909567431854
659,0.2,75.0,Sobol2,72.91121319013898,0.095006451612286,0.3738889646786362,660.510638039715,707.0,46.48936196028501
660,0.2,16.0,Grid1296,78.22576216461067,0.0948139656384476,0.4054311876745032,740.0905395666671,707.0,-33.090539566667076
661,0.2,16.0,Grid2401,99.31882185176892,0.1144457704093464,0.0875880607174396,777.0851840664596,707.0,-70.08518406645965
