,ratio,rndint,dataset,prediction,target,diff
2242,0.6,721.0,Sobol1,677.0125324993678,707.0,29.987467500632192
2243,0.6,721.0,Sobol2,658.4267512027172,707.0,48.57324879728276
2244,0.6,711.0,Grid1296,736.5481350151033,707.0,-29.5481350151033
2245,0.6,711.0,Grid2401,780.9213960632061,707.0,-73.92139606320609
2246,0.6,711.0,Sobol1,684.8916484674897,707.0,22.108351532510255
2247,0.6,711.0,Sobol2,660.0568721209361,707.0,46.94312787906392
2248,0.6,985.0,Grid1296,740.4437224558891,707.0,-33.44372245588909
2249,0.6,985.0,Grid2401,779.6227969203525,707.0,-72.62279692035247
2250,0.6,985.0,Sobol1,683.350620445438,707.0,23.64937955456196
2251,0.6,985.0,Sobol2,652.7152380663908,707.0,54.28476193360916
2252,0.6,171.0,Grid1296,743.7151648012609,707.0,-36.715164801260926
2253,0.6,171.0,Grid2401,773.8875731008674,707.0,-66.88757310086737
2254,0.6,171.0,Sobol1,685.4904626625621,707.0,21.509537337437905
2255,0.6,171.0,Sobol2,657.5512934880503,707.0,49.448706511949695
2256,0.6,75.0,Grid1296,746.2978682714297,707.0,-39.29786827142971
2257,0.6,75.0,Grid2401,777.6087095875585,707.0,-70.60870958755845
2258,0.6,75.0,Sobol1,680.833861978331,707.0,26.166138021668985
2259,0.6,75.0,Sobol2,660.4569717006598,707.0,46.54302829934022
2260,0.6,16.0,Grid1296,737.9430347095227,707.0,-30.94303470952275
2261,0.6,16.0,Grid2401,776.1987421983888,707.0,-69.1987421983888
2262,0.6,16.0,Sobol1,675.7195785080545,707.0,31.280421491945503
2263,0.6,16.0,Sobol2,662.6960686650056,707.0,44.303931334994445
2264,0.6,669.0,Grid1296,734.4679351612178,707.0,-27.467935161217838
2265,0.6,669.0,Grid2401,776.3068593998488,707.0,-69.3068593998488
2266,0.6,669.0,Sobol1,676.6893450845816,707.0,30.310654915418354
2267,0.6,669.0,Sobol2,663.6085917300809,707.0,43.39140826991911
2268,0.6,530.0,Grid1296,739.9966565263726,707.0,-32.99665652637259
2269,0.6,530.0,Grid2401,779.9237378131845,707.0,-72.92373781318452
2270,0.6,530.0,Sobol1,682.5576490261021,707.0,24.442350973897874
2271,0.6,530.0,Sobol2,650.3683824086327,707.0,56.63161759136733
2272,0.6,999.0,Grid1296,744.3551172032213,707.0,-37.35511720322131
2273,0.6,999.0,Grid2401,777.0002256002756,707.0,-70.0002256002756
2274,0.6,999.0,Sobol1,675.2090759895491,707.0,31.790924010450908
2275,0.6,999.0,Sobol2,660.1713970811561,707.0,46.8286029188439
2276,0.6,794.0,Grid1296,737.0909254637397,707.0,-30.090925463739723
2277,0.6,794.0,Grid2401,778.2900832062567,707.0,-71.29008320625667
2278,0.6,794.0,Sobol1,678.3711416803815,707.0,28.62885831961853
2279,0.6,794.0,Sobol2,673.4083976898212,707.0,33.591602310178814
2280,0.6,936.0,Grid1296,744.4817268713836,707.0,-37.48172687138356
2281,0.6,936.0,Grid2401,777.935501808662,707.0,-70.93550180866202
2282,0.6,936.0,Sobol1,682.309139444975,707.0,24.690860555024983
2283,0.6,936.0,Sobol2,670.1043033954903,707.0,36.89569660450968
2284,0.6,111.0,Grid1296,735.2631085634549,707.0,-28.26310856345492
2285,0.6,111.0,Grid2401,777.426355989315,707.0,-70.42635598931497
