,ratio,rndint,dataset,kernel,prediction,std dev.,target,diff
23,0.05,711.0,Grid2401,ESS,0.14722591244132371,0.9999999832963313,707.0,706.8527740875587
24,0.05,711.0,Sobol1,RBF,719.9777808109488,0.04679195601217207,707.0,-12.977780810948843
25,0.05,711.0,Sobol1,Matern,719.4334724013349,0.13635426908506368,707.0,-12.433472401334939
26,0.05,711.0,Sobol1,RQ,715.3279003825139,0.37044703907062926,707.0,-8.327900382513917
27,0.05,711.0,Sobol1,ESS,0.0,1.0,707.0,707.0
28,0.05,711.0,Sobol2,RBF,735.940167492527,0.08557118696706593,707.0,-28.940167492527053
29,0.05,711.0,Sobol2,Matern,724.7541959888081,0.20065612599421287,707.0,-17.75419598880808
30,0.05,711.0,Sobol2,RQ,714.4713516739073,0.4954549548832312,707.0,-7.471351673907293
31,0.05,711.0,Sobol2,ESS,1.371916085938781e-21,1.0,707.0,707.0
32,0.05,510.0,Grid1296,RBF,187.49503764736596,0.9702869062374753,707.0,519.504962352634
33,0.05,510.0,Grid1296,Matern,708.1593281681658,0.47049890533941413,707.0,-1.1593281681657572
34,0.05,510.0,Grid1296,RQ,710.7643973532251,0.683097081688361,707.0,-3.7643973532251493
35,0.05,510.0,Grid1296,ESS,0.0,1.0,707.0,707.0
36,0.05,510.0,Grid2401,RBF,557.1182307729747,0.7383718992570615,707.0,149.8817692270253
37,0.05,510.0,Grid2401,Matern,702.2996580577775,0.445794809566917,707.0,4.700341942222508
